katedra,zkratka,nazev
KFY,SZZB3,Programování
KFY,SZZ10,SZZ - Fyzika s didaktikou pro ZŠ
KFY,SZZ74,SZZ - Poč.mod. ve fyzice tenkých vrstev
KFY,UNM,Úvod do nanotechnologií a nanomateriálů
KFY,VPZM,Vybrané partie z matematiky
KFY,0148,VK-Speciální teorie relativity
KFY,0174,Aplikace ATMEL A
KFY,0236,Molekulární simulace roztoků elektrolytů
KFY,0239,Střípky z dějin fyziky
KFY,AP08,Mechanické vlastnosti pevných látek
KFY,E530,An Introduction to Quantum Physics
KFY,E737,Quantum Physics
KFY,FPA,Fyzikální praktikum A
KFY,KA28,Vybrané partie z teoretické fyziky II
KFY,KDF2,Didaktika fyziky II
KFY,KKM,Kvantová mechanika
KFY,K119,Termika a molekulová fyzika
KFY,K205,Matematika II
KFY,K406,PVK - Hromadné zpracování dat
KFY,K409,Matematika IV
KFY,K414,Vybrané partie z fyziky
KFY,K419,Počítačový design nanomateriálů
KFY,K420,Fyzikální praktikum C
KFY,K611,Elektronika
KFY,K621,Fyzikální praktikum D
KFY,K831,Didaktika fyziky II - ZŠ
KFY,K861,Fyzika pevných látek I
KFY,MK401,Speciální teorie relativity
KFY,M200,Počítač. modelování spojitých soustav II
KFY,M400,Paralelní programování II
KFY,M402,Fyzika tekutin
KFY,NA06,Struk. látek a difr. analýza v mat. výz.
KFY,NA11,Základy kvantové chemie a spektra mol.
KFY,PA26,Proseminář řešení fyzikálních úloh B
KFY,PPM2,Praktikum počítačového modelování II
KFY,PZOS,Počítačové zpracování obrazu a signálu
KFY,P212,Termika a molekulová fyzika
